0,1
sent back a,a
backward aa,aa
retrograde aaa,aaa
upset aas,saa
ab turn,ba
aba brought about,aba
abac over,caba
abay going round,yaba
reversing abas,saba
abba going up,abba
abo backing,oba
reflection abrood,doorba
arising absi,isba
from the east abut,tuba
stuck up ac,ca
serve up acara,araca
acca looking up,acca
going back acce,ecca
backing acrid,dirca
ad rolling,da
reversing ada,ada
adad westbound,dada
adar sent back,rada
adda hauled up,adda
recede addda,addda
looking back adet,teda
adinida northbound,adinida
rise adman,namda
ado going north,oda
ados head over heels,soda
ae reversing,ea
going up aer,rea
aes climbing,sea
from the right aet,tea
going north af,fa
looking up aff,ffa
affa coming up,affa
ag raising,ga
aga arising,aga
going north agag,gaga
on the contrary agama,amaga
rotate agar,raga
keel over agas,saga
spun agenes,senega
revolution aget,tega
agger upwardly mobile,regga
agib up,biga
turns up agla,alga
agnat rolling,tanga
sent up agons,snoga
go west agos,soga
agrom rise,morga
stuck up agust,tsuga
raising ah,ha
in turn aha,aha
ahom turns up,moha
ahs capsized,sha
backfiring aht,tha
ai return,ia
ay sent back,ya
ayah the other way,haya
going back aid,dia
aider reflection,redia
upwardly mobile aiger,regia
aile overturned,elia
stuck up ailed,delia
retiring aim,mia
air retrograde,ria
brought about aira,aria
backed aire,eria
from the east airts,stria
ais flipping,sia
ajaja serve up,ajaja
ajar in turn,raja
ak spun,ka
brought about aka,aka
turn akka,akka
northbound ako,oka
turned al,la
ala flipped,ala
twisted alala,alala
about alap,pala
revolutionary alas,sala
alban bring up,nabla
ale retreating,ela
head over heels alem,mela
alga backing,agla
upside down alif,fila
backward allay,yalla
alle keel over,ella
allium the wrong way,muilla
keel over allo,olla
in turn alma,amla
on the contrary alo,ola
return alod,dola
recede als,sla
alula going north,alula
knock back am,ma
ama retreating,ama
retire amaga,agama
retreating amahs,shama
amal westbound,lama
amapa backed,apama
retire amar,rama
serve up amaroid,diorama
amedeo flipped,oedema
from the bottom amelu,ulema
amen going west,nema
reflection amene,enema
amex cast up,xema
retrograde ami,ima
amic spun,cima
turned amiced,decima
around amil,lima
amir retreating,rima
elevated amis,sima
climbing amla,alma
amma lifted,amma
retrograde amman,namma
ammos flipping,somma
amora the other way,aroma
up amos,soma
set back amrit,tirma
amunam go around,manuma
on the contrary an,na
ana all round,ana
anabas recede,sabana
counter anacara,aracana
anay retreat,yana
return anal,lana
anam going back,mana
back to front anan,nana
set back anana,anana
anasa brought about,asana
cast up anat,tana
skyward ande,edna
aneles overturn,selena
anes counter,sena
anger sent back,regna
anil turned,lina
stuck up anim,mina
put up animal,lamina
animes knock back,semina
animo from the right,omina
anis reversed,sina
anna looking up,anna
annam go north,manna
annat elevated,tanna
annot held up,tonna
lifted annus,sunna
knock over anon,nona
reject ante,etna
spun aob,boa
ap backed,pa
apa going up,apa
apay in retrospect,yapa
rolling apama,amapa
apart held up,trapa
turns up ape,epa
retire aped,depa
apod head over heels,dopa
going north app,ppa
appal brought about,lappa
reverse apus,supa
ar spun,ra
ara lifted,ara
reversing arab,bara
going up araca,acara
recede aracana,anacara
aramis recall,simara
retire arar,rara
arara cast up,arara
arb left,bra
are reverse,era
ares left,sera
aret flip over,tera
rolling arf,fra
on the contrary arg,gra
argas recall,sagra
to the left aria,aira
going west arian,naira
all round aril,lira
reject aryl,lyra
overturned ark,kra
arkab counter,bakra
up aro,ora
aroma backing,amora
arras looking up,sarra
rise arret,terra
arris overturned,sirra
art in retrospect,tra
ascend artamus,sumatra
elevated arts,stra
held up artus,sutra
aru coming back,ura
arum twisted,mura
flip over as,sa
rolling asa,asa
retiring asak,kasa
asana going back,anasa
go north asem,mesa
keel over asor,rosa
assam come up,massa
primarily asses,sessa
at to the left,ta
ata put up,ata
atap turn,pata
atar going up,rata
keel over ate,eta
hauled up atef,feta
sent up ates,seta
ati over,ita
atip come up,pita
come back atis,sita
atlas return,salta
come up atokal,lakota
coming back atom,mota
atta retrospective,atta
westbound atte,etta
raised auget,tegua
auk twisted,kua
auks going up,skua
aulu overturn,ulua
sent back aute,etua
av retreating,va
backed ava,ava
aval go back,lava
raised ave,eva
avid skyward,diva
avis up,siva
lifted avo,ova
uprising aw,wa
all round awa,awa
go back awat,tawa
overturn awm,mwa
backed awol,lowa
revolution axon,noxa
az held up,za
backing b,b
ba on the contrary,ab
stuck up bab,bab
bac going back,cab
bad knock back,dab
capsized bag,gab
send up bah,hab
turning bakra,arkab
knock back bal,lab
bals westbound,slab
sent up bam,mab
ban go back,nab
bank westbound,knab
flip flop bans,snab
looking up bar,rab
bara raising,arab
barb come up,brab
bring up bard,drab
bring up bares,serab
recall barf,frab
barger go around,regrab
go around bas,sab
basan coming back,nasab
raising bat,tab
batik upside down,kitab
westbound bats,stab
baw contrary,wab
bb return,bb
bcd knock back,dcb
bch retrograde,hcb
bd retrospective,db
turnover bed,deb
retiring beef,feeb
beg backfiring,geb
beid up,dieb
bels raised,sleb
ben back to front,neb
reject bens,sneb
ber overturned,reb
bf raising,fb
bi go back,ib
put up bib,bib
raised bid,dib
big flipped,gib
biga returning,agib
flipping bim,mib
bin twisted,nib
bins retiring,snib
in turn bird,drib
bring up birne,enrib
birt going round,trib
northbound bis,sib
bit serve up,tib
uprising bits,stib
bk capsized,kb
round bl,lb
up blay,yalb
blocs backward,scolb
blub turning,bulb
upwardly mobile bm,mb
capsized bn,nb
coming up bo,ob
reverse boa,aob
retire boar,raob
counter bob,bob
bobac retrospective,cabob
from the bottom boc,cob
bod turn,dob
bog around,gob
revolution boh,hob
turning bohor,rohob
elevated boy,yob
flip flop bol,lob
around bom,mob
bon contrary,nob
bring up bonk,knob
recede bons,snob
about boob,boob
brought about bood,doob
brought up bool,loob
bop brought up,pob
brought up bor,rob
borer ascending,rerob
bos in retrospect,sob
bot about,tob
rise bots,stob
retreat bow,wob
bows hauled up,swob
bra capsized,arb
brab knock over,barb
reverse brad,darb
brag going round,garb
bray rear,yarb
braw go north,warb
coming up brey,yerb
rise brev,verb
brought about bro,orb
shown up brog,gorb
bros up,sorb
brut knock back,turb
uprising bruted,deturb
going back bs,sb
bt ascending,tb
bub to the left,bub
bud rotate,dub
climbing bul,lub
bulb recede,blub
westbound bun,nub
flip flop bunk,knub
rise buns,snub
bur around,rub
burd revolution,drub
burg bring up,grub
burt keel over,trub
bus up,sub
but recede,tub
return buts,stub
bv flipping,vb
from the right c,c
lifted ca,ac
upside down cab,bac
backed caba,abac
cabob serve up,bobac
caf from the south,fac
cal left,lac
cam hauled up,mac
go north camus,sumac
reflection cap,pac
rise cares,serac
cars upside down,srac
backing cart,trac
cav come back,vac
come back caw,wac
cc left,cc
cd ascending,dc
retreat ce,ec
cele raised,elec
backtrack ceps,spec
upset cf,fc
cyc hauled up,cyc
westbound cyl,lyc
cima coming back,amic
cir around,ric
circ up,cric
cire up,eric
go west cires,seric
go back cis,sic
cit contrary,tic
recede civ,vic
civic the other way,civic
ck revolution,kc
raised cl,lc
written up clat,talc
cm back to front,mc
going round co,oc
going north cob,boc
cod reversing,doc
written up col,loc
com northbound,moc
uprising cor,roc
corp backed,proc
cos from the east,soc
cp going round,pc
cr returning,rc
cram backing,marc
round cran,narc
retire crap,parc
crc serve up,crc
cric spun,circ
reverse cro,orc
crop back to front,porc
cs reversing,sc
csc flipping,csc
ct recede,tc
uprising cte,etc
ctg going back,gtc
cto counter,otc
go west cu,uc
up cud,duc
brought about cul,luc
come up cure,eruc
cv raising,vc
d reversing,d
da capsized,ad
reflection dab,bad
backed dace,ecad
round dad,dad
revolution dada,adad
round dae,ead
arising daer,read
dag upset,gad
flip flop dags,sgad
dah turn,had
dahs from the bottom,shad
day written up,yad
dairt knock back,triad
backed dal,lad
capsized dam,mad
damon invert,nomad
rotate dan,nad
dao rear,oad
dap backtrack,pad
in turn daps,spad
from the south dar,rad
daraf retreating,farad
darb overturned,brad
put up dard,drad
westbound darg,grad
about dart,trad
climbing darter,retrad
darts all round,strad
das ascending,sad
dat invert,tad
upwardly mobile daud,duad
daw spun,wad
daws from the bottom,swad
db recede,bd
dc turned,cd
dcb northbound,bcd
backward dd,dd
de turnover,ed
going back deb,bed
debut retreat,tubed
decal going back,laced
twisted decap,paced
primarily decart,traced
brought up decima,amiced
turnover decurt,truced
dedal recoil,laded
contrary dedit,tided
come back deed,deed
left deedeed,deedeed
upside down deem,meed
deep ascend,peed
deeps on the contrary,speed
deer revolution,reed
skyward dees,seed
def stuck up,fed
retreat defer,refed
deflow go west,wolfed
deg cast up,ged
degami turns up,imaged
from the right degener,reneged
degged recall,degged
dey twisted,yed
primarily deified,deified
deifier revolution,reified
reverse deil,lied
deys backing,syed
bring up deke,eked
deked counter,deked
del bring up,led
backfiring delaw,waled
going west delbert,trebled
deled from the south,deled
delf return,fled
delia backed,ailed
delian from the right,nailed
delit reflection,tiled
deliver come up,reviled
uprising dels,sled
dem upwardly mobile,med
backed demal,lamed
reversing demit,timed
den reject,ned
come up dene,ened
all round denier,reined
denies raising,seined
back to front denim,mined
retire denned,denned
dennis elevated,sinned
dens come up,sned
going up dep,ped
rotate depa,aped
depoh revolution,hoped
depot going north,toped
depots twisted,stoped
sent back der,red
derah going west,hared
bring up derat,tared
northbound derats,stared
backed derf,fred
contrary dero,ored
derog head over heels,gored
capsized derri,irred
des about,sed
desi coming up,ised
send up desyl,lysed
rise dess,ssed
dessert reverse,tressed
in turn desserts,stressed
elevated det,ted
up detar,rated
deturb around,bruted
deus held up,sued
deval westbound,laved
devas backed,saved
devil written up,lived
deviler retreat,relived
flipping dew,wed
upside down dewal,lawed
northbound dewans,snawed
coming back dewed,dewed
the other way dewer,rewed
dex keel over,xed
skyward dexes,sexed
backfiring dg,gd
brought up di,id
dy head over heels,yd
dia going north,aid
dial go west,laid
going back dialer,relaid
overturn diam,maid
dian all round,naid
raised diaper,repaid
dias overturn,said
left dib,bid
retire dibrom,morbid
upside down did,did
dieb going back,beid
primarily diene,eneid
backed dier,reid
dies arising,seid
diets backward,steid
dif from the south,fid
go back dig,gid
dil turning,lid
over dilo,olid
dilos about,solid
hauled up dim,mid
go around dimit,timid
din turned,nid
keel over dinar,ranid
left dine,enid
diols bring up,sloid
diorama from the south,amaroid
put up dioramas,samaroid
dir hauled up,rid
going north dirca,acrid
dirge turning,egrid
dirt sent back,trid
dirts backfiring,strid
going north dis,sid
knock back dys,syd
disp going round,psid
dit reverse,tid
dits left,stid
contrary diva,avid
reject divid,divid
upside down dl,ld
primarily dlr,rld
up dm,md
dn revolution,nd
do lifted,od
dob going back,bod
to the left doc,cod
round dod,dod
put up doeg,geod
uprising dog,god
doh brought about,hod
counter dol,lod
put up dola,alod
dole primarily,elod
contrary dolos,solod
dols upset,slod
looking back dom,mod
held up don,nod
dons uprising,snod
going west doob,bood
turning dool,lood
doom turned,mood
climbing door,rood
doorba around,abrood
brought up dop,pod
dopa on the contrary,apod
dor reversed,rod
in turn dormin,nimrod
twisted dorp,prod
dorps primarily,sprod
dort contrary,trod
dorter up,retrod
up dos,sod
dot recede,tod
dots rise,stod
dow lifted,wod
doz going round,zod
set back doze,ezod
reject dp,pd
head over heels dpt,tpd
dr sent up,rd
drab turning,bard
rolling drad,dard
overturn drag,gard
retreating dray,yard
in turn drail,liard
draw head over heels,ward
drawer stuck up,reward
draws put up,sward
drey recede,yerd
drib skyward,bird
drof go back,ford
drool up,loord
rear drow,word
drub sent up,burd
ds upset,sd
over dt,td
flip flop dtd,dtd
du reverse,ud
from the bottom duad,daud
reversing dual,laud
dub in retrospect,bud
sent back duc,cud
ducs revolution,scud
climbing dud,dud
the wrong way duel,leud
dug rolling,gud
stuck up dui,iud
going up dum,mud
reverse duo,oud
duos turning,soud
flip flop dup,pud
bring up dups,spud
counter dur,rud
dx hauled up,xd
turns up e,e
retreat ea,ae
ead northbound,dae
eam back,mae
head over heels ean,nae
eat backed,tae
ec return,ce
turns up ecad,dace
upside down ecart,trace
return ecca,acce
ecce from the south,ecce
eciton coming back,notice
ed upset,de
northbound edam,made
backtrack edile,elide
coming up edit,tide
from the east edna,ande
sent back edo,ode
ee counter,ee
back to front eel,lee
eels rear,slee
looking back een,nee
over eer,ree
ef looking back,fe
eg retreating,ge
written up egol,loge
looking up egrid,dirge
eh coming up,he
ey around,ye
eyah turn,haye
revolutionary eye,eye
eyl keel over,lye
contrary eyn,nye
eir rolling,rie
hauled up eyr,rye
come up eire,erie
eke the wrong way,eke
ascend eked,deke
reflection el,le
ela upwardly mobile,ale
flipping elan,nale
arising elaps,spale
elbert contrary,treble
elec shown up,cele
turns up elem,mele
head over heels elfin,nifle
eli retreat,ile
around elia,aile
knock over elide,edile
up elides,sedile
eliot go back,toile
ella retire,alle
elle twisted,elle
flip flop eloah,haole
elod left,dole
elops in retrospect,spole
round elutes,setule
em retiring,me
ascend eme,eme
emes sent back,seme
emil overturn,lime
emim invert,mime
invert emir,rime
reflection emit,time
uprising emits,stime
in turn emong,gnome
emu to the left,ume
en turnover,ne
retrospective enam,mane
capsized enamor,romane
shown up ened,dene
eneid hauled up,diene
enema reverse,amene
send up enew,wene
sent back enid,dine
uprising enif,fine
head over heels enol,lone
primarily enols,slone
enos upset,sone
enow skyward,wone
stuck up enrib,birne
about ense,esne
enserf rolling,fresne
eo westbound,oe
eof rear,foe
about eom,moe
turning eos,soe
ep ascending,pe
flipping epa,ape
epit overturn,tipe
in turn epop,pope
to the left epos,sope
raising eq,qe
turned er,re
about era,are
over eral,lare
over eras,sare
erat overturn,tare
elevated ere,ere
rolling erg,gre
ergate going north,etagre
overturn ergo,ogre
twisted eria,aire
eric head over heels,cire
stuck up erie,eire
eris twisted,sire
eros coming up,sore
flipping eruc,cure
retrospective ervil,livre
upset es,se
ese turning,ese
retiring esne,ense
esrog revolutionary,gorse
esse put up,esse
looking up esu,use
et return,te
eta come back,ate
go back etagre,ergate
etas backing,sate
etc come up,cte
turnover eten,nete
looking back etna,ante
put up eton,note
put up etta,atte
going up etua,aute
eva stuck up,ave
about eval,lave
evan northbound,nave
backed evap,pave
eve cast up,eve
even counter,neve
ever going north,reve
ascending eves,seve
evil rise,live
eviler sent up,relive
evils revolutionary,slive
ew twisted,we
ewe rear,ewe
exul backfiring,luxe
ezan reversing,naze
up ezod,doze
f serve up,f
go west fa,af
fac backing,caf
fan go around,naf
faq coming back,qaf
farad ascending,daraf
fb backfiring,bf
fc from the bottom,cf
turn fcp,pcf
going west fcs,scf
going up fe,ef
fed all round,def
feeb turns up,beef
feel twisted,leef
feer left,reef
put up feif,fief
raised feil,lief
retire fen,nef
fer recall,ref
fet retrospective,tef
flipped feta,atef
few retreat,wef
twisted ff,ff
ffa turn,aff
fi reflection,if
going north fiar,raif
retire fid,dif
fief backing,feif
lifted fiel,leif
fig coming back,gif
fil from the east,lif
fila retreating,alif
fine round,enif
going up fires,serif
rear fl,lf
sent back fled,delf
flew turnover,welf
go back flog,golf
overturn flor,rolf
flow shown up,wolf
fm from the right,mf
fo in retrospect,of
foe reverse,eof
fol sent back,lof
foo retrograde,oof
fool sent up,loof
foots rolling,stoof
retiring ford,drof
go back fp,pf
fr backing,rf
twisted fra,arf
keel over frab,barf
in turn fred,derf
invert fresne,enserf
back to front fro,orf
frt back to front,trf
reject fs,sf
back to front fw,wf
about g,g
ga retrospective,ag
gab coming back,bag
contrary gad,dag
gag serve up,gag
bring up gaga,agag
uprising gaj,jag
revolution gal,lag
invert gals,slag
gam recoil,mag
gan the wrong way,nag
overturned gangan,nagnag
gaps uprising,spag
back to front gar,rag
garb hauled up,brag
go north gard,drag
come back gas,sag
gat looking back,tag
sent up gater,retag
gats retire,stag
looking back gaw,wag
shown up gawgaw,wagwag
gaz round,zag
coming back gd,dg
arising ge,eg
retiring geb,beg
reject ged,deg
geeks rolling,skeeg
gel raising,leg
gelder spun,redleg
gem turning,meg
backing gen,neg
geod looking up,doeg
all round ger,reg
upside down ges,seg
recede get,teg
sent back gets,steg
from the right gib,big
sent up gid,dig
gif rear,fig
gig flipped,gig
gil come up,lig
gim retrograde,mig
flipping gym,myg
gin sent up,nig
retreat gins,snig
ascend gip,pig
brought up gips,spig
giro retreating,orig
girt upset,trig
retrospective girts,strig
send up gis,sig
up git,tig
head over heels gl,lg
gm backing,mg
all round gn,ng
backtrack gnar,rang
come up gnat,tang
gnats ascending,stang
gnaw rolling,wang
lifted gnaws,swang
gnome reverse,emong
gnow back to front,wong
gnu rotate,ung
gnus retreating,sung
go rear,og
gob rotate,bog
retrograde god,dog
from the south gog,gog
gol rear,log
turns up golf,flog
golfer on the contrary,reflog
go north gon,nog
goog retrospective,goog
climbing gor,rog
gorb lifted,brog
backed gored,derog
gorse rear,esrog
gos westbound,sog
got lifted,tog
uprising gov,vog
back to front gp,pg
gpm contrary,mpg
left gr,rg
gra all round,arg
backward grad,darg
northbound gram,marg
gre upset,erg
gres come up,serg
gro in retrospect,org
grub retrograde,burg
overturn grus,surg
gs looking back,sg
gt on the contrary,tg
all round gtc,ctg
stuck up gu,ug
reversing gud,dug
northbound guy,yug
gul flipping,lug
flipping gulp,plug
guls come back,slug
gum come up,mug
head over heels gums,smug
guns on the contrary,snug
gup all round,pug
from the bottom gur,rug
keel over gurt,trug
gut shown up,tug
climbing guts,stug
skyward guv,vug
come back gv,vg
h come up,h
from the bottom ha,ah
backing hab,bah
in retrospect habus,subah
going north had,dah
haes come up,seah
overturn hagigah,hagigah
hah the other way,hah
climbing hahs,shah
hay come back,yah
haya turning,ayah
haye turned,eyah
backing haj,jah
come back hakam,makah
hal retreat,lah
halalah going west,halalah
rolling hales,selah
in turn hallah,hallah
going round hallan,nallah
ham in turn,mah
up haole,eloah
about hap,pah
arising haram,marah
haras spun,sarah
back to front hared,derah
overturned harris,sirrah
up hart,trah
has backward,sah
come up haw,wah
skyward hcb,bch
cast up he,eh
heh serve up,heh
ascend hey,yeh
hep backtrack,peh
backing her,reh
knock back heres,sereh
heuk the other way,kueh
flipping hl,lh
all round hm,mh
going north ho,oh
backward hob,boh
hod cast up,doh
on the contrary hon,noh
hoo back to front,ooh
sent back hoop,pooh
hop recall,poh
hoped backward,depoh
ascend hp,ph
all round hq,qh
from the right hr,rh
hs reflection,sh
retreating hsi,ish
overturn ht,th
hu revolution,uh
huh return,huh
hw turns up,wh
i revolutionary,i
y upwardly mobile,y
ia primarily,ai
looking up ya,ay
yaba lifted,abay
go west yad,day
yah to the left,hay
all round yay,yay
yak retrospective,kay
left yalb,blay
knock over yalla,allay
yam backed,may
yan looking back,nay
flipping yana,anay
yap brought about,pay
go north yapa,apay
yaps reversed,spay
coming up yar,ray
yaray reject,yaray
overturned yarb,bray
backed yard,dray
knock over yas,say
invert yat,tay
going north yaw,way
yaws going north,sway
ib going round,bi
ibo looking back,obi
id going north,di
upwardly mobile yd,dy
ye invert,ey
yed around,dey
cast up yeh,hey
yerb overturned,brey
yerd brought up,drey
overturn yes,sey
knock back yew,wey
upset if,fi
ihi retire,ihi
upwardly mobile ihp,phi
ihs knock over,shi
hauled up ii,ii
iii climbing,iii
flip flop ik,ki
il backward,li
ile written up,eli
im serve up,mi
ym reversed,my
round ima,ami
uprising imaged,degami
imer contrary,remi
come up imi,imi
immi send up,immi
elevated immun,nummi
overturned in,ni
ascending yn,ny
go north ino,oni
around yo,oy
yob reversed,boy
yoho arising,ohoy
yoy come up,yoy
looking back yom,moy
yon overturned,noy
yor round,roy
all round yot,toy
going west yoven,nevoy
go west yow,woy
ires going west,seri
reversing irok,kori
iron put up,nori
reject irred,derri
irs twisted,sri
set back is,si
isba send up,absi
ised rotate,desi
ish from the south,hsi
rear isis,sisi
iso serve up,osi
ist overturn,tsi
it in retrospect,ti
around ita,ati
capsized ital,lati
iten go north,neti
iud sent up,dui
yug westbound,guy
sent back yup,puy
looking up iv,vi
ivan return,navi
left iw,wi
go west ix,xi
j knock over,j
jag reverse,gaj
jah recede,haj
jak coming up,kaj
coming up jar,raj
jat cast up,taj
left k,k
ka turns up,ak
kaes recede,seak
raised kay,yak
kaiak keel over,kaiak
kayak raised,kayak
coming back kaj,jak
return kakkak,kakkak
return kal,lak
going back kan,nak
kanap all round,panak
turn kanat,tanak
kas knock over,sak
rotate kasa,asak
round kassak,kassak
kazak turned,kazak
kb elevated,bk
upset kc,ck
around kcal,lack
kedar rolling,radek
keek recede,keek
backfiring keel,leek
keels retreating,sleek
keep turned,peek
kees retreating,seek
ascend keets,steek
going round kelek,kelek
backfiring ken,nek
counter ki,ik
turning kinnikinnik,kinnikinnik
kip recall,pik
kips returning,spik
upset kitab,batik
klop left,polk
km head over heels,mk
knab in retrospect,bank
knap reflection,pank
overturned knaps,spank
knar northbound,rank
rise knaw,wank
knit lifted,tink
recede knits,stink
knob up,bonk
knot turning,tonk
knots cast up,stonk
recede know,wonk
knows hauled up,swonk
knub coming back,bunk
going back knut,tunk
ko left,ok
kook around,kook
kor serve up,rok
kori over,irok
returning kos,sok
kra up,ark
go back kral,lark
sent back kran,nark
retiring krans,snark
knock back kras,sark
going north krems,smerk
kt knock back,tk
kua retreating,auk
kuar go west,rauk
kueh backtrack,heuk
raising kw,wk
l invert,l
in retrospect la,al
lab twisted,bal
laban knock over,nabal
lac northbound,cal
laced sent up,decal
going back lack,kcal
lad back,dal
turning laded,dedal
flip over ladin,nidal
bring up laen,neal
laet up,teal
bring up lag,gal
lager northbound,regal
coming up lah,hal
laid flipped,dial
raised lair,rial
revolution lak,kal
lakota brought up,atokal
lam retrospective,mal
recede lama,amal
lamas invert,samal
backed lamed,demal
lamina from the right,animal
from the right lana,anal
uprising lanes,senal
lap flipped,pal
about lapel,lepal
sent back lapon,nopal
from the east lappa,appal
raising lare,eral
contrary lares,seral
lark twisted,kral
climbing larum,mural
primarily larus,sural
las from the east,sal
lasso reverse,ossal
lat in turn,tal
spun later,retal
lati ascending,ital
rolling latimer,remital
laton turnover,notal
laud retreat,dual
return lav,val
lava retire,aval
retire lave,eval
laved looking back,deval
from the south lawed,dewal
uprising lb,bl
to the left lc,cl
skyward ld,dl
capsized le,el
lean raised,nael
retrospective leat,tael
going north leben,nebel
led round,del
lee about,eel
the wrong way leef,feel
go west leek,keel
knock back leeks,skeel
leep upside down,peel
leer upset,reel
sent back lees,seel
looking up leet,teel
leets round,steel
rolling leg,gel
spun leger,regel
leif rolling,fiel
leks backed,skel
lemel revolution,lemel
lemmas ascend,sammel
on the contrary leon,noel
lepal backward,lapel
set back leper,repel
revolutionary ler,rel
les brought up,sel
lesson overturned,nossel
let going back,tel
head over heels leud,duel
go west lev,vel
sent up level,level
leveler upwardly mobile,relevel
leven over,nevel
lever elevated,revel
invert levins,snivel
levir from the east,rivel
lf rolling,fl
lg climbing,gl
lh uprising,hl
coming up li,il
liar going back,rail
liard raising,drail
lias flip over,sail
revolution lyc,cyl
all round lid,dil
lye come back,eyl
lied come up,deil
lief recede,feil
invert lien,neil
liever return,reveil
lif return,fil
on the contrary lig,gil
westbound lim,mil
rear lima,amil
backward lime,emil
lin retire,nil
skyward lina,anil
backtrack linus,sunil
lion arising,noil
lip put up,pil
back lira,aril
turning lyra,aryl
hauled up lis,sil
reversed lys,syl
lysed brought up,desyl
lit recede,til
litu go back,util
turnover liv,vil
live about,evil
lived retreating,devil
go back livre,ervil
ll to the left,ll
llew sent back,well
lm in retrospect,ml
ln backed,nl
from the bottom lo,ol
lob upside down,bol
coming back lobo,obol
head over heels loc,col
recoil lod,dol
lof knock over,fol
log put up,gol
head over heels loge,egol
turnover loges,segol
lois return,siol
lone retiring,enol
loob stuck up,bool
lood reject,dool
to the left loof,fool
loom turns up,mool
loons arising,snool
reject loop,pool
loops flip over,spool
turned loord,drool
recede loos,sool
northbound loot,tool
looter looking up,retool
loots over,stool
lop set back,pol
stuck up loren,nerol
lot overturn,tol
go west lotos,sotol
elevated lowa,awol
sent up lp,pl
ls brought up,sl
lub rise,bul
luc coming back,cul
sent up lug,gul
luxe flip flop,exul
lv held up,vl
lwl ascending,lwl
reject lwo,owl
lifted m,m
ma upset,am
maam go back,maam
retrograde mab,bam
mac contrary,cam
macs backfiring,scam
raised mad,dam
madam in turn,madam
the wrong way made,edam
mae reject,eam
contrary maes,seam
sent up mag,gam
coming back mah,ham
come back may,yam
maid looking up,diam
spun makah,hakam
in turn mal,lam
malayalam come up,malayalam
malam return,malam
mallam from the south,mallam
malo cast up,olam
mam knock back,mam
man westbound,nam
about mana,anam
mane retiring,enam
go around manes,senam
head over heels manitu,utinam
coming back manna,annam
manuma backtrack,amunam
mao cast up,oam
map the wrong way,pam
reverse mar,ram
in retrospect marah,haram
marc knock back,cram
come up marcs,scram
coming back marg,gram
marram going up,marram
mart head over heels,tram
marts going west,stram
mas going back,sam
revolution massa,assam
mat invert,tam
mats retrospective,stam
maws flipped,swam
back mb,bm
coming back mc,cm
md spun,dm
me send up,em
backtrack med,dem
retreating meed,deem
turn meer,reem
meet hauled up,teem
meets in retrospect,steem
meg go north,gem
brought about mela,alem
melas set back,salem
counter mele,elem
mem backward,mem
from the bottom mer,rem
turned mes,sem
invert mesa,asem
mesem recall,mesem
met to the left,tem
metas all round,satem
sent up meter,retem
counter mets,stem
mew upside down,wem
written up mf,fm
mg backtrack,gm
overturned mh,hm
uprising mho,ohm
rise mi,im
my reflection,ym
mia reject,aim
mian in retrospect,naim
going back mias,saim
the other way mib,bim
flipping mid,dim
about mig,gim
turning myg,gym
mil revolutionary,lim
mils come up,slim
up mim,mim
come up mym,mym
mime raised,emim
brought up min,nim
mina go back,anim
upset mined,denim
overturn minim,minim
retreating mir,rim
mis rear,sim
mit go back,tim
looking back mk,km
from the bottom ml,lm
flipped mm,mm
raising mmmm,mmmm
mn recoil,nm
cast up mo,om
rise mob,bom
come up moc,com
contrary mod,dom
moe coming back,eom
back to front moha,ahom
moy back to front,yom
mom round,mom
mon sent back,nom
going north mood,doom
mooder retreating,redoom
mool overturn,loom
overturned mools,sloom
moor back,room
reject moos,soom
moot looking up,toom
mop climbing,pom
overturn mor,rom
turned morbid,dibrom
