0,1
rear morga,agrom
morts ascend,strom
mot retiring,tom
mota back,atom
looking up mows,swom
mp knock over,pm
mpg sent back,gpm
all round mr,rm
ms left,sm
backward mt,tm
mts uprising,stm
brought about mu,um
mud upwardly mobile,dum
mug flipped,gum
going north muilla,allium
mum returning,mum
retire mun,num
munger retrograde,regnum
muns about,snum
overturned mura,arum
mural reversed,larum
round muras,sarum
murdrum reversing,murdrum
mures going up,serum
put up mus,sum
spun mut,tum
muts primarily,stum
mw primarily,wm
sent up mwa,awm
come up n,n
contrary na,an
brought up nab,ban
nabal raised,laban
nabla raising,alban
nad recall,dan
nae send up,ean
nael revolutionary,lean
naf going west,fan
nag held up,gan
in retrospect nagnag,gangan
from the south nagor,rogan
retreat nahor,rohan
from the south nay,yan
lifted nayar,rayan
naid ascending,dian
nailed turns up,delian
raising naim,mian
naira turnover,arian
nak round,kan
nale retrograde,elan
in turn nallah,hallan
nam ascending,man
go north namaz,zaman
round namda,adman
keel over namer,reman
namma all round,amman
nan on the contrary,nan
in retrospect nana,anan
nap invert,pan
revolutionary naps,span
nar twisted,ran
narc contrary,cran
going back narcs,scran
nark set back,kran
flip flop narw,wran
come up nasab,basan
nasus go north,susan
nat arising,tan
go west naut,tuan
nav lifted,van
back to front nave,evan
from the east navi,ivan
navis flip flop,sivan
elevated naw,wan
naze brought about,ezan
nb overturn,bn
nd left,dn
ne retiring,en
westbound neal,laen
back neat,taen
going north neb,ben
nebel recoil,leben
ned rise,den
nedder lifted,redden
nee send up,een
neep go around,peen
neeps going north,speen
in turn neer,reen
turned neet,teen
nef reversing,fen
sent up nefas,safen
reversing neg,gen
neil knock over,lien
nek raising,ken
nema revolution,amen
nemas rear,samen
come back nemo,omen
nep turnover,pen
sent up neper,repen
reflection nerol,loren
net to the left,ten
all round nete,eten
turned neti,iten
nets upside down,sten
neve raising,even
looking up nevel,leven
neven spun,neven
neves uprising,seven
nevo in retrospect,oven
around nevoy,yoven
keel over new,wen
ng flipping,gn
serve up ni,in
retrospective ny,yn
revolution nias,sain
returning nib,bin
ascend nid,din
nidal the other way,ladin
nye reject,eyn
stuck up nifle,elfin
flipped nig,gin
nil spun,lin
ascend nim,min
nimrod knock back,dormin
nip going up,pin
nipas round,sapin
nips recoil,spin
nis written up,sin
nit coming up,tin
niter written up,retin
set back nl,ln
nm rotate,mn
no flipped,on
nob twisted,bon
nod back,don
noel on the contrary,leon
looking up nog,gon
retire noh,hon
noy capsized,yon
noil spun,lion
ascending nolos,solon
nom contrary,mon
coming back nomad,damon
non turned,non
in turn nona,anon
nonet from the east,tenon
recall noon,noon
retiring noop,poon
nopal back,lapon
arising nor,ron
nori overturn,iron
nos going back,son
nossel flip over,lesson
bring up not,ton
notal revolutionary,laton
note shown up,eton
rolling notes,seton
notice elevated,eciton
nov returning,von
now in retrospect,won
noxa ascending,axon
primarily nr,rn
recede ns,sn
arising nt,tn
twisted nu,un
nub around,bun
num lifted,mun
nummi invert,immun
nun reversed,nun
going up nus,sun
overturned nut,tun
nuts written up,stun
o ascend,o
oad ascending,dao
oam westbound,mao
oat backed,tao
ob come back,bo
oba send up,abo
obi elevated,ibo
obmit backfiring,timbo
invert obol,lobo
going up oc,co
westbound ocas,saco
go north od,do
oda revolution,ado
upside down ode,edo
oe left,eo
backtrack oedema,amedeo
knock over of,fo
go west offer,reffo
ofo lifted,ofo
turns up og,go
ogpu around,upgo
raised ogre,ergo
oh going west,ho
ohm going back,mho
go back oho,oho
ohoy back,yoho
ascending ohs,sho
retire oy,yo
ok reversed,ko
going west oka,ako
ol invert,lo
ola cast up,alo
upset olam,malo
olid written up,dilo
retiring olla,allo
om knock back,mo
omen serve up,nemo
flip over omina,animo
retrospective omit,timo
on put up,no
onces reversed,secno
oner skyward,reno
looking back oni,ino
ono rotate,ono
around oof,foo
ooh recede,hoo
oohs reverse,shoo
oooo contrary,oooo
climbing oot,too
revolution op,po
or bring up,ro
ora reverse,aro
orb going north,bro
orc backtrack,cro
upset orcas,sacro
looking back ored,dero
ores retrograde,sero
orf in retrospect,fro
org overturn,gro
put up orig,giro
recall os,so
osi coming back,iso
ossal the wrong way,lasso
brought up ot,to
otc ascend,cto
oto primarily,oto
ottetto capsized,ottetto
otto flipped,otto
otus go north,suto
going round oud,duo
ova come up,avo
turnover oven,nevo
ow brought up,wo
owl ascend,lwo
looking back owt,two
oz upside down,zo
p the wrong way,p
flipping pa,ap
pac upside down,cap
going north paced,decap
pacer flipped,recap
pacs around,scap
pad cast up,dap
raising pah,hap
from the south pay,yap
backtrack pal,lap
uprising pala,alap
uprising paler,relap
from the east palp,plap
capsized pals,slap
westbound pam,map
come back pan,nap
panak come back,kanap
looking back pank,knap
looking up pans,snap
pap backfiring,pap
par return,rap
parc elevated,crap
part cast up,trap
parts flip over,strap
retreat pas,sap
keel over pat,tap
from the bottom pata,atap
pats keel over,stap
pave reverse,evap
paw retreat,wap
paws climbing,swap
pc all round,cp
rotate pcf,fcp
pd retrospective,dp
pe sent back,ep
come back ped,dep
peed retrospective,deep
peek overturn,keep
peel northbound,leep
raising peels,sleep
all round peen,neep
peep upside down,peep
pees retrograde,seep
looking back peeweep,peeweep
peh retrospective,hep
in retrospect pen,nep
pep retreating,pep
from the bottom per,rep
up perp,prep
rolling pes,sep
pets twisted,step
sent up pews,swep
pf looking back,fp
pg upset,gp
invert ph,hp
upwardly mobile phi,ihp
pias return,saip
the other way pig,gip
pik upside down,kip
pil flipping,lip
pin flip flop,nip
pins going back,snip
pip reversed,pip
pir held up,rip
the other way pis,sip
pit coming back,tip
pita raising,atip
pl retreat,lp
spun plap,palp
return plug,gulp
plup spun,pulp
pm written up,mp
po the other way,op
go west pob,bop
pod revolution,dop
poh held up,hop
pol hauled up,lop
polk reject,klop
pols capsized,slop
come up pom,mop
overturn pons,snop
uprising pooh,hoop
poohs spun,shoop
return pool,loop
rear pools,sloop
up poon,noop
poons going west,snoop
elevated poop,poop
westbound poor,roop
poort recede,troop
skyward poot,toop
pop written up,pop
knock back pope,epop
porc send up,crop
come up port,trop
reject ports,strop
pos going round,sop
reverse pot,top
pots go back,stop
serve up pow,wop
pows flip flop,swop
westbound pp,pp
ppa round,app
pps left,spp
pq overturn,qp
arising prat,tarp
prep over,perp
flip over pret,terp
proc returning,corp
prod retrospective,dorp
prp going north,prp
prut cast up,turp
ps going north,sp
psid backward,disp
knock over pst,tsp
pt rotate,tp
upside down ptp,ptp
recede pu,up
pud revolutionary,dup
the wrong way pug,gup
puy rotate,yup
pulp counter,plup
puls ascend,slup
the wrong way puns,snup
sent up pup,pup
arising pupils,slipup
the other way puris,sirup
pus ascending,sup
knock over put,tup
pwt recall,twp
reflection q,q
qaf turned,faq
counter qe,eq
about qh,hq
overturn qp,pq
qs elevated,sq
r back,r
ra cast up,ar
uprising rab,bar
rad ascending,dar
rada turns up,adar
retrograde radar,radar
rear radek,kedar
rag from the south,gar
rolling raga,agar
rages go back,segar
ray knock back,yar
in retrospect rayan,nayar
raif arising,fiar
rail to the left,liar
brought up raj,jar
raja shown up,ajar
rakes up,sekar
backing rakis,sikar
ram about,mar
rama reject,amar
brought about ran,nar
rang turning,gnar
turn ranid,dinar
overturned rank,knar
raob set back,boar
shown up rap,par
raps flip over,spar
flipping rara,arar
ras retreat,sar
rat from the east,tar
rata shown up,atar
counter rated,detar
rater skyward,retar
knock back rats,star
recede rauk,kuar
raw looking up,war
flipped rc,cr
recede rd,dr
re go around,er
rea arising,aer
arising read,daer
knock over reaps,spaer
turns up reb,ber
rebus shown up,suber
rebut brought up,tuber
rebuts turn,stuber
recap keel over,pacer
recaps stuck up,spacer
recart knock over,tracer
turning recit,ticer
red retreating,der
redart counter,trader
reflection redden,nedder
redder upset,redder
redes on the contrary,seder
redia recall,aider
redips coming back,spider
redleg up,gelder
turnover redoom,mooder
redraw bring up,warder
redrawer reject,rewarder
recall ree,eer
reed recall,deer
elevated reef,feer
reeks backward,skeer
reel looking back,leer
reels revolutionary,sleer
going up reem,meer
twisted reen,neer
rees westbound,seer
from the south reet,teer
ref flip flop,fer
brought up refed,defer
refer stuck up,refer
raised reffo,offer
over reflet,telfer
reflog elevated,golfer
cast up reflow,wolfer
reg reject,ger
regal turns up,lager
reversed regel,leger
reverse regga,agger
revolutionary regia,aiger
retreating regna,anger
send up regnum,munger
regrab upside down,barger
reh in turn,her
reid go back,dier
reified turns up,deifier
reifier in retrospect,reifier
reined flipped,denier
reis capsized,sier
reit reverse,tier
reiter backfiring,retier
reives from the bottom,sevier
raised reknit,tinker
go back reknits,stinker
around rel,ler
relaid backfiring,dialer
relap in retrospect,paler
relevel come up,leveler
revolutionary relever,reveler
to the left relit,tiler
looking up relive,eviler
hauled up relived,deviler
reliver recoil,reviler
rem all round,mer
reman northbound,namer
remeet around,teemer
coming back remi,imer
remit lifted,timer
come up remital,latimer
reneged lifted,degener
renner backward,renner
rennet backtrack,tenner
head over heels reno,oner
return rep,per
repaid held up,diaper
repaper arising,repaper
around repel,leper
repen keel over,neper
primarily repins,sniper
sent back report,troper
turned repot,toper
recall rerob,borer
northbound res,ser
overturned ret,ter
retag knock back,gater
recede retal,later
retar going back,rater
retem climbing,meter
retier go around,reiter
retreating retin,niter
retool sent back,looter
retrad looking up,darter
retrod to the left,dorter
retros northbound,sorter
spun rets,ster
retter reflection,retter
rev keel over,ver
round reve,ever
back reveil,liever
brought up revel,lever
reveler going west,relever
rever brought about,rever
reviled return,deliver
recoil reviler,reliver
contrary reviver,reviver
reject rew,wer
reward round,drawer
climbing rewarder,redrawer
rewed about,dewer
rewet overturn,tewer
rf recoil,fr
brought about rg,gr
rh come back,hr
ria climbing,air
rial arising,lair
from the bottom ric,cir
flipped rid,dir
from the right rie,eir
rye around,eyr
brought about rim,mir
rima retrospective,amir
rimas overturned,samir
retreating rime,emir
retrospective rip,pir
turnover rivel,levir
reversing rld,dlr
returning rm,mr
retire rn,nr
all round ro,or
westbound rob,bor
turned robur,rubor
roc turns up,cor
rod westbound,dor
roes round,seor
rog overturned,gor
rogan overturned,nagor
go around rohan,nahor
rohob from the right,bohor
going north roy,yor
rotate rok,kor
retreating rolf,flor
backward rom,mor
the other way romane,enamor
ron going back,nor
skyward rood,door
room lifted,moor
sent back roop,poor
go west rosa,asor
rot held up,tor
bring up rotanev,venator
backward rotator,rotator
rotor revolution,rotor
rots round,stor
retreating rs,sr
back to front rt,tr
going west rub,bur
rubor head over heels,robur
head over heels rud,dur
rug go west,gur
rotate rums,smur
back runs,snur
rus turned,sur
going north rut,tur
s knock over,s
in turn sa,as
saa from the south,aas
westbound sab,bas
turns up saba,abas
the wrong way sabana,anabas
coming up saco,ocas
sacro round,orcas
from the south sad,das
safen revolution,nefas
sag reverse,gas
saga from the right,agas
all round sagas,sagas
northbound sagra,argas
around sah,has
climbing say,yas
upwardly mobile said,dias
sail around,lias
shown up saim,mias
overturn sain,nias
primarily saip,pias
sak backed,kas
knock over sal,las
sala keel over,alas
arising salat,talas
backtrack salem,melas
set back sallets,stellas
reflection salta,atlas
cast up sam,mas
samal round,lamas
samaroid in retrospect,dioramas
come back samas,samas
raised samen,nemas
samir put up,rimas
sammel head over heels,lemmas
sap go around,pas
sapin retrograde,nipas
saps counter,spas
sent up sar,ras
sarah come back,haras
going round sare,eras
sark upwardly mobile,kras
saros turn,soras
coming up sarra,arras
sarum looking back,muras
from the south sarus,suras
reflection sat,tas
sate counter,etas
satem overturned,metas
coming up sav,vas
saved going back,devas
saw retreating,was
sawt go back,twas
sb from the right,bs
backward sc,cs
scam ascending,macs
rotate scap,pacs
scares revolution,seracs
scaw come up,wacs
scf going up,fcs
sclat turned,talcs
retrograde scolb,blocs
scram in turn,marcs
scran spun,narcs
scud returning,ducs
lifted sd,ds
sds flip flop,sds
se from the east,es
come up sea,aes
seah northbound,haes
going round seak,kaes
seam looking back,maes
sebat backed,tabes
secno go west,onces
secret around,terces
counter sed,des
seder turn,redes
go north sedile,elides
from the bottom seed,dees
turns up seek,kees
seeks revolution,skees
raised seel,lees
seep hauled up,pees
seer flip over,rees
sees upwardly mobile,sees
around seg,ges
segar recall,rages
segol to the left,loges
sey from the east,yes
brought about seid,dies
reversing seined,denies
backfiring seit,ties
recoil sekar,rakes
sekos northbound,sokes
reversed sel,les
westbound selah,hales
selahs from the bottom,shales
hauled up selena,aneles
going back selles,selles
invert sem,mes
cast up seme,emes
reversed sememes,sememes
turning semes,semes
semina upside down,animes
sena return,anes
senal returning,lanes
spun senam,manes
senega going north,agenes
raising senit,tines
reflection senones,senones
back to front seor,roes
sep retreat,pes
around ser,res
looking back sera,ares
serab come back,bares
serac looking up,cares
seracs flipped,scares
back seral,lares
seraw westbound,wares
back to front sereh,heres
seres capsized,seres
the other way serg,gres
hauled up seri,ires
going up seric,cires
raising serif,fires
bring up sero,ores
climbing sert,tres
serum recall,mures
raised serves,sevres
from the east sessa,asses
seta come back,ates
return seton,notes
recoil setule,elutes
seve on the contrary,eves
to the left seven,neves
sevier in retrospect,reives
sevres retrospective,serves
sew backward,wes
sexed turn,dexes
sexes turning,sexes
flipped sf,fs
retire sg,gs
sgad ascend,dags
sh elevated,hs
sha revolution,ahs
upset shad,dahs
shah reject,hahs
sent back shahs,shahs
raising shales,selahs
counter shama,amahs
held up shi,ihs
sho sent back,ohs
westbound shoo,oohs
shoop recoil,poohs
sent back shu,uhs
rotate si,is
sia upside down,ais
sib upset,bis
raised sic,cis
sid set back,dis
in turn syd,dys
return syed,deys
rear sier,reis
sig rolling,gis
sikar northbound,rakis
raising sil,lis
the wrong way syl,lys
returning sim,mis
northbound sima,amis
simara counter,aramis
turned sin,nis
sina send up,anis
sinned overturn,dennis
backing sinnet,tennis
northbound siol,lois
sip capsized,pis
sire sent up,eris
flipped siris,siris
about sirra,arris
sirrah brought up,harris
go around sirs,sris
sirup all round,puris
sis raising,sis
sisi backtrack,isis
sit invert,tis
come back sita,atis
siva return,avis
sivan looking up,navis
backward six,xis
skeeg on the contrary,geeks
skeel rotate,leeks
skeer rise,reeks
skees go north,seeks
skeets round,steeks
skel going up,leks
skips raised,spiks
skua spun,auks
contrary sl,ls
written up sla,als
slab looking up,bals
slag from the bottom,gals
go back slap,pals
sleb rolling,bels
sled climbing,dels
slee northbound,eels
left sleek,keels
sleep flip over,peels
backtrack sleeps,speels
in turn sleer,reels
sleets back,steels
backtrack slew,wels
slim backward,mils
slipup coming back,pupils
rolling slit,tils
lifted slive,evils
slod held up,dols
sloid counter,diols
slone going up,enols
sloom retrograde,mools
sloop invert,pools
sloops backed,spools
shown up sloot,tools
slop bring up,pols
upset slug,guls
slup elevated,puls
sm over,ms
turn smart,trams
smerk climbing,krems
go west smug,gums
smur elevated,rums
upside down smuts,stums
turn sn,ns
go west snab,bans
elevated snap,pans
upside down snaps,spans
turns up snark,krans
snaw left,wans
serve up snawed,dewans
snaws contrary,swans
about sneb,bens
sned retrospective,dens
snew revolution,wens
snib capsized,bins
stuck up snig,gins
coming up snip,pins
sniper serve up,repins
snips coming up,spins
snit uprising,tins
snivel brought up,levins
set back snob,bons
snod in turn,dons
snoga climbing,agons
snool brought up,loons
snoop over,poons
snoops looking up,spoons
snoot rotate,toons
retreating snop,pons
retreating snot,tons
written up snow,wons
return snub,buns
backfiring snug,guns
primarily snum,muns
snup spun,puns
snur going west,runs
overturned so,os
sob turn,bos
soc left,cos
sod retrograde,dos
coming back soda,ados
in turn soe,eos
sent up sog,gos
over soga,agos
soyot spun,toyos
westbound sok,kos
sokes up,sekos
solid upside down,dilos
solod retrograde,dolos
solon backfiring,nolos
serve up solos,solos
soma northbound,amos
from the east somma,ammos
from the bottom son,nos
round sone,enos
sool put up,loos
sooloos back to front,sooloos
soom up,moos
bring up sop,pos
sope serve up,epos
soras bring up,saros
sorb going up,bros
raising sore,eros
sorter back to front,retros
brought up sos,sos
knock back sot,tos
sotol going west,lotos
brought up soud,duos
backing sow,wos
backfiring sowt,twos
overturned sp,ps
going north spacer,recaps
reversed spad,daps
reflection spaer,reaps
spag set back,gaps
overturned spay,yaps
westbound spale,elaps
coming back span,naps
capsized spank,knaps
spans turning,snaps
spar go around,raps
coming up spart,traps
spas flipped,saps
spat retreat,taps
arising spec,ceps
speed to the left,deeps
speels going round,sleeps
arising speen,neeps
spider flipped,redips
revolutionary spig,gips
spik backfiring,kips
spiks bring up,skips
spin rotate,nips
revolutionary spins,snips
spirt upset,trips
go west spirts,strips
spit backing,tips
spiv counter,vips
rear spole,elops
spool retreat,loops
spools coming up,sloops
overturn spoons,snoops
come back sports,strops
spot going west,tops
rolling spots,stops
spp serve up,pps
sprat raising,tarps
to the left sprits,stirps
sprod recoil,dorps
sps raising,sps
hauled up spt,tps
spud send up,dups
sput written up,tups
return sq,qs
sr invert,rs
head over heels srac,cars
backed sri,irs
raising sris,sirs
flip over ss,ss
elevated ssed,dess
st revolution,ts
ascend stab,bats
elevated stag,gats
stam from the bottom,mats
stang ascend,gnats
stap retire,pats
go around star,rats
the other way stared,derats
stat around,tats
stats going up,stats
climbing staw,wats
head over heels steek,keets
steeks in retrospect,skeets
steel knock back,leets
steels looking up,sleets
steem send up,meets
steg overturn,gets
steid lifted,diets
stellas counter,sallets
back stem,mets
backing sten,nets
step ascending,pets
ster flip over,rets
stert arising,trets
serve up stets,stets
back stew,wets
stib retiring,bits
stid in turn,dits
in retrospect stime,emits
stink twisted,knits
stinker return,reknits
stirps looking up,sprits
stm raised,mts
stob brought about,bots
climbing stod,dots
skyward stonk,knots
recoil stoof,foots
turns up stool,loots
sent up stoot,toots
come up stop,pots
keel over stoped,depots
brought about stops,spots
contrary stor,rots
coming up stot,tots
retiring stow,wots
stows cast up,swots
stra cast up,arts
rise strad,darts
going up stram,marts
strap back,parts
skyward straw,warts
from the east stressed,desserts
shown up stria,airts
turns up strid,dirts
go around strig,girts
strips overturned,spirts
strom written up,morts
strop retreat,ports
strops ascend,sports
knock back strow,worts
struts go around,sturts
backward stu,uts
stub keel over,buts
stuber shown up,rebuts
about stug,guts
coming back stum,muts
stums reversing,smuts
from the south stun,nuts
sturts in retrospect,struts
reversed stut,tuts
backing su,us
on the contrary sub,bus
subah going up,habus
suber skyward,rebus
succus left,succus
coming up sued,deus
suez retreating,zeus
sugat knock back,tagus
sulu come back,ulus
reversing sum,mus
skyward sumac,camus
recede sumatra,artamus
sun retrograde,nus
sung back to front,gnus
lifted sunil,linus
raised sunna,annus
reflection sup,pus
keel over supa,apus
twisted sur,rus
sural elevated,larus
back to front suras,sarus
surg backing,grus
sus come up,sus
reject susan,nasus
suto bring up,otus
sutra keel over,artus
hauled up sv,vs
from the right sw,ws
ascending swad,daws
sway held up,yaws
rolling swam,maws
swang going back,gnaws
reversed swans,snaws
swap backing,paws
sward backed,draws
swat arising,taws
swep upside down,pews
swob written up,bows
swom in retrospect,mows
swonk raised,knows
swop retrospective,pows
stuck up swot,tows
swots come back,stows
swow climbing,wows
revolution t,t
ta coming up,at
reflection tab,bat
skyward tabes,sebat
tad rotate,dat
go back tae,eat
coming back tael,leat
backfiring taen,neat
tag bring up,gat
rise tagus,sugat
tay climbing,yat
retreating taj,jat
tal reflection,lat
knock over talas,salat
talc coming back,clat
talcs knock back,sclat
tam overturn,mat
written up tan,nat
round tana,anat
backing tanak,kanat
tang looking back,gnat
tanga retiring,agnat
tanna left,annat
rise tao,oat
tap cast up,pat
keel over taps,spat
tar retire,rat
held up tare,erat
recede tared,derat
retreating tarp,prat
returning tarps,sprat
tas turning,sat
tat flipped,tat
rise tats,stat
tav knock back,vat
head over heels taw,wat
reflection tawa,awat
taws northbound,swat
tax left,xat
counter tb,bt
going back tc,ct
td invert,dt
te overturn,et
tea rotate,aet
set back teal,laet
tebbet turning,tebbet
tebet reversed,tebet
go west ted,det
rolling teda,adet
teel coming back,leet
up teem,meet
coming up teemer,remeet
backward teen,neet
teer sent up,reet
overturn teet,teet
reflection tef,fet
in turn teg,get
tega retrograde,aget
tegua going up,auget
from the south tel,let
telfer recall,reflet
come back tem,met
rise ten,net
tenet the wrong way,tenet
tenner retiring,rennet
twisted tennis,sinnet
tennu recoil,unnet
revolutionary tenon,nonet
back to front ter,ret
go west tera,aret
terces ascending,secret
terp back,pret
retiring terra,arret
recall terret,terret
territ serve up,tirret
tew backfiring,wet
coming back tewer,rewet
send up tg,gt
going up tgt,tgt
from the right th,ht
left tha,aht
ti back to front,it
reversed tib,bit
tibbit come back,tibbit
tic returning,cit
ticer all round,recit
turnover tid,dit
tide go around,edit
left tided,dedit
tier brought about,reit
spun ties,seit
send up tig,git
come up til,lit
tiled arising,delit
come up tiler,relit
tils capsized,slit
going back tim,mit
timbo flip flop,obmit
going up time,emit
going round timed,demit
from the south timer,remit
from the bottom timid,dimit
timo going north,omit
all round tin,nit
tines northbound,senit
rotate tink,knit
the wrong way tinker,reknit
from the right tins,snit
coming back tip,pit
return tipe,epit
tipit retrograde,tipit
tips recall,spit
backing tirma,amrit
left tirret,territ
rolling tirrit,tirrit
turn tis,sit
tit turning,tit
tyt looking back,tyt
tiu reversing,uit
tk skyward,kt
tkt upside down,tkt
tm the wrong way,mt
tn go north,nt
on the contrary tnt,tnt
go back to,ot
tob primarily,bot
recall tod,dot
tog head over heels,got
turn toy,yot
in turn toile,eliot
flipping toyos,soyot
reflection tol,lot
tom from the east,mot
ton go west,not
tonk revolution,knot
tonna going back,annot
recall tons,snot
recede too,oot
coming up tool,loot
tools in retrospect,sloot
toom lifted,moot
toons northbound,snoot
from the east toop,poot
toot reject,toot
toots go west,stoot
reverse top,pot
toped reflection,depot
toper elevated,repot
tops round,spot
tor upset,rot
put up tort,trot
tos flip flop,sot
tot send up,tot
tots invert,stot
up tow,wot
tows round,swot
stuck up tp,pt
written up tpd,dpt
tps from the east,spt
tr rise,rt
tra backward,art
go around trac,cart
written up trace,ecart
traced retreat,decart
tracer rotate,recart
brought about trad,dart
going west trader,redart
climbing trah,hart
tram cast up,mart
spun trams,smart
trap held up,part
trapa written up,apart
traps invert,spart
hauled up treble,elbert
trebled contrary,delbert
flipped tres,sert
tressed in turn,dessert
looking back trets,stert
turn trf,frt
reversing triad,dairt
looking back trib,birt
retire trid,dirt
recede trig,girt
trips on the contrary,spirt
turning trod,dort
uprising troop,poort
sent back trop,port
troper go north,report
upside down trot,tort
on the contrary trow,wort
trt raised,trt
serve up trub,burt
truced flipping,decurt
turning trug,gurt
ts coming back,st
tsi over,ist
tsp stuck up,pst
overturned tst,tst
tsuga keel over,agust
bring up tu,ut
tuan from the east,naut
come back tub,but
bring up tuba,abut
tubed backward,debut
tuber reverse,rebut
tug primarily,gut
tum knock back,mut
tun brought about,nut
tunk stuck up,knut
tup upside down,put
tups serve up,sput
tur backward,rut
turb reversed,brut
turp turns up,prut
spun tut,tut
bring up tuts,stut
tv to the left,vt
twas knock back,sawt
two set back,owt
recoil twos,sowt
primarily twp,pwt
txt knock over,txt
reflection u,u
hauled up uc,cu
ud upset,du
ug elevated,gu
held up uh,hu
uhs retiring,shu
uit coming back,tiu
ulema ascend,amelu
twisted ulu,ulu
ulua brought about,aulu
retrospective ululu,ululu
ulus ascend,sulu
upset um,mu
put up ume,emu
primarily umu,umu
un upside down,nu
ung uprising,gnu
unnet twisted,tennu
up skyward,pu
reversed upgo,ogpu
ura about,aru
northbound uru,uru
from the east us,su
use going back,esu
looking back usu,usu
backtrack ut,tu
retrograde util,litu
utinam ascending,manitu
uts westbound,stu
shown up utu,utu
uprising ux,xu
backtrack v,v
va arising,av
sent up vac,cav
val bring up,lav
counter van,nav
revolution vas,sav
vat from the right,tav
shown up vav,vav
go around vb,bv
bring up vc,cv
retrospective vel,lev
venator primarily,rotanev
coming back ver,rev
verb come up,brev
send up vg,gv
vi retrospective,iv
vic back,civ
from the south vil,liv
from the south vips,spiv
raising vl,lv
turns up vog,gov
von head over heels,nov
vs cast up,sv
vt rotate,tv
turnover vug,guv
reversing vv,vv
w rise,w
northbound wa,aw
recede wab,baw
wac upwardly mobile,caw
wacs retrograde,scaw
coming up wad,daw
the other way wag,gaw
wagwag revolutionary,gawgaw
flip over wah,haw
way going back,yaw
sent back waled,delaw
wan going back,naw
retrograde wang,gnaw
wank keel over,knaw
retrograde wans,snaw
wap all round,paw
war coming up,raw
warb raised,braw
come up ward,draw
warder from the right,redraw
retiring wares,seraw
westbound warts,straw
lifted was,saw
wat retreating,taw
wats overturned,staw
stuck up waw,waw
go around we,ew
rise wed,dew
brought up wef,few
backward wey,yew
welf around,flew
well retreating,llew
head over heels wels,slew
turn wem,mew
overturn wen,new
in turn wene,enew
climbing wens,snew
from the east wer,rew
going up wes,sew
wet coming back,tew
wets in turn,stew
wf from the right,fw
westbound wh,hw
wi put up,iw
wk recall,kw
to the left wm,mw
invert wo,ow
return wob,bow
invert wod,dow
woy uprising,yow
wolf go west,flow
wolfed go around,deflow
wolfer recoil,reflow
arising won,now
wone climbing,enow
wong recall,gnow
wonk turnover,know
wons turning,snow
wop ascend,pow
word go west,drow
reject wort,trow
come back worts,strow
round wos,sow
flip flop wot,tow
wots go west,stow
wow twisted,wow
raised wows,swow
wran going up,narw
ws turnover,sw
retreat x,x
xat northbound,tax
brought about xd,dx
xed going north,dex
xema backtrack,amex
left xi,ix
in retrospect xis,six
xix serve up,xix
capsized xu,ux
xx from the east,xx
left xxx,xxx
westbound z,z
za recede,az
zag on the contrary,gaz
zaman backed,namaz
from the right zeus,suez
zo backfiring,oz
zod counter,doz
